,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,G,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,midpoint,scaled_championships,scaled_reg_mvp,scaled_per,scaled_vorp,scaled_bpm,scaled_ws,scaled_all_star,scaled_ppg,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_spg,scaled_bpg,GOAT_SCORE
13,Julius Erving,1.0,1.0,0.1922,24.16,0.0,1243.0,36.39,8.47,4.16,23.58,6.21,80.05,16.0,12.0,1.96,1.67,1982.0,0.14285714285714285,0.16666666666666666,0.8448584736653529,0.6007955568898228,0.6735357917570498,0.7672654690618762,0.8421052631578947,0.8021248339973439,0.771570453134699,0.8849708171206226,0.6119942196531792,0.3717605004468275,0.0,0.8,0.7232472324723247,0.4771428571428571,43.63866844272054
14,Moses Malone,1.0,3.0,0.1739,20.33,1.0,1455.0,33.98,12.26,0.0,22.0,1.62,45.14,13.0,8.0,0.0,1.3,1986.0,0.14285714285714285,0.5,0.788247939806521,0.33878715100570395,0.175704989154013,0.6942115768463073,0.6842105263157894,0.6749667994687915,0.9031657355679702,0.8263618677042801,0.8858381502890174,0.0,0.16666666666666666,0.5333333333333333,0.0,0.37142857142857144,42.337348112330496
15,Karl Malone,0.0,2.0,0.2053,25.02,0.0,1476.0,37.16,10.14,0.0,23.9,5.15,99.03,14.0,14.0,1.41,0.78,1995.0,0.0,0.3333333333333333,0.8563238982443568,0.7432452716901831,0.5585683297180043,0.819560878243513,0.7368421052631579,0.8306772908366533,0.9162011173184358,0.9036964980544746,0.7326589595375723,0.0,0.0,0.9333333333333333,0.5202952029520295,0.22285714285714286,41.87783040085129
16,Dwyane Wade,3.0,0.0,0.162,21.98,1.0,1054.0,33.94,0.0,5.41,23.48,4.98,62.8,13.0,8.0,1.54,0.84,2011.5,0.42857142857142855,0.0,0.8412755284844142,0.4713299309516661,0.5401301518438177,0.6467065868263473,0.6842105263157894,0.7297476759628154,0.654252017380509,0.8253891050583657,0.0,0.483467381590706,0.16666666666666666,0.5333333333333333,0.5682656826568265,0.24,41.557551169519165
17,Kevin Garnett,1.0,1.0,0.1822,17.83,0.0,1462.0,34.49,10.03,0.0,22.66,5.61,96.85,15.0,9.0,1.27,1.39,2006.0,0.14285714285714285,0.16666666666666666,0.8118953780007166,0.7268838186730711,0.6084598698481561,0.7273453093812375,0.7894736842105263,0.5919654714475431,0.9075108628181254,0.8387645914396887,0.7247109826589595,0.0,0.0,0.6,0.46863468634686345,0.3971428571428571,40.09169260797995
18,Charles Barkley,0.0,1.0,0.2163,22.14,0.0,1073.0,36.65,11.69,3.93,24.63,6.13,80.46,11.0,11.0,1.54,0.83,1992.5,0.0,0.16666666666666666,0.8824793980652096,0.6038727108976283,0.6648590021691974,0.8634730538922155,0.5789473684210527,0.7350597609561753,0.6660459342023588,0.8912937743190661,0.8446531791907514,0.3512064343163539,0.0,0.7333333333333333,0.5682656826568265,0.23714285714285713,39.52340475586249
19,Dirk Nowitzki,1.0,1.0,0.1928,20.74,1.0,1522.0,33.75,7.55,0.0,22.44,4.54,84.82,14.0,12.0,0.0,0.84,2009.0,0.14285714285714285,0.16666666666666666,0.8040128986026515,0.6365956169318522,0.49240780911062904,0.7696606786427145,0.7368421052631579,0.6885790172642762,0.9447548106765984,0.8207684824902723,0.5455202312138728,0.0,0.16666666666666666,0.8,0.0,0.24,38.43642384441469
20,Chris Paul,0.0,0.0,0.2438,18.47,0.0,1013.0,34.9,0.0,9.48,25.1,7.59,85.63,10.0,8.0,2.19,0.0,2013.0,0.0,0.0,0.8993192404156217,0.6426748724106874,0.8232104121475053,0.973253493013972,0.5263157894736842,0.6132138114209826,0.6288019863438857,0.8487354085603113,0.0,0.8471849865951743,0.0,0.5333333333333333,0.8081180811808117,0.0,36.336295690477854
21,Manu Ginóbili,4.0,0.0,0.1902,0.0,0.0,1057.0,0.0,0.0,3.79,20.22,5.0,47.57,2.0,2.0,1.32,0.0,2010.5,0.5714285714285714,0.0,0.7244715155858116,0.3570249174422095,0.5422993492407808,0.7592814371257485,0.10526315789473684,0.0,0.6561142147734327,0.0,0.0,0.3386952636282395,0.0,0.13333333333333333,0.4870848708487085,0.0,34.624866830063084
22,Pau Gasol,2.0,0.0,0.1687,17.04,0.0,1226.0,33.44,9.22,0.0,21.37,3.56,57.49,6.0,4.0,0.0,1.58,2010.5,0.2857142857142857,0.0,0.765675385166607,0.4314770339237466,0.386117136659436,0.6734530938123752,0.3157894736842105,0.5657370517928286,0.7610180012414649,0.8132295719844358,0.666184971098266,0.0,0.0,0.26666666666666666,0.0,0.4514285714285714,34.475468108666405
