,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,G,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,midpoint,scaled_championships,scaled_reg_mvp,scaled_per,scaled_vorp,scaled_bpm,scaled_ws,scaled_all_star,scaled_ppg,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_spg,scaled_bpg,GOAT_SCORE
143,Andrei Kirilenko,0.0,0.0,0.1513,0.0,0.0,0.0,0.0,0.0,0.0,18.73,4.89,41.67,1.0,0.0,1.38,1.83,2008.5,0.0,0.0,0.6710856323898245,0.3127439207445211,0.5303687635574836,0.6039920159680638,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092250922509225,0.5228571428571428,16.659449536045877
144,DeAndre Jordan,0.0,0.0,0.175,0.0,0.0,0.0,0.0,10.8,0.0,18.62,1.39,20.86,1.0,3.0,0.0,1.6,3000.0,0.0,0.0,0.667144392690792,0.15655959171419992,0.15075921908893708,0.6986027944111776,0.05263157894736842,0.0,0.0,0.0,0.7803468208092487,0.0,0.0,0.2,0.0,0.45714285714285713,16.62620241951609
145,Serge Ibaka,1.0,0.0,0.1415,0.0,0.0,0.0,0.0,7.35,0.0,17.24,0.0,0.0,0.0,0.0,0.0,2.08,3000.0,0.14285714285714285,0.0,0.6176997491938373,0.0,0.0,0.5648702594810379,0.0,0.0,0.0,0.0,0.5310693641618497,0.0,0.0,0.0,0.0,0.5942857142857143,16.617605110912166
146,Mario Elie,3.0,0.0,0.1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.5021956087824351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.49574280011406
147,Carlos Boozer,0.0,0.0,0.1432,16.23,0.0,0.0,0.0,9.51,0.0,19.46,1.41,23.08,2.0,1.0,0.0,0.0,2009.0,0.0,0.0,0.6972411322106773,0.17322125487841486,0.1529284164859002,0.5716566866267464,0.10526315789473684,0.5388446215139442,0.0,0.0,0.6871387283236995,0.0,0.0,0.06666666666666667,0.0,0.0,16.38280390282287
148,Terrell Brandon,0.0,0.0,0.1469,0.0,0.0,0.0,0.0,0.0,6.09,19.69,3.57,30.27,2.0,0.0,1.58,0.0,1997.0,0.0,0.0,0.7054819061268364,0.2271840288201741,0.3872017353579175,0.5864271457085828,0.10526315789473684,0.0,0.0,0.0,0.0,0.5442359249329759,0.0,0.0,0.5830258302583026,0.0,16.17661849731118
149,Sidney Moncrief,0.0,0.0,0.1873,0.0,0.0,0.0,0.0,0.0,0.0,18.69,3.67,33.15,5.0,5.0,1.2,0.0,1985.5,0.0,0.0,0.669652454317449,0.2487991594115881,0.3980477223427331,0.7477045908183632,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.44280442804428044,0.0,16.042022131142417
150,George Thompson,2.0,0.0,0.0,18.57,0.0,0.0,32.11,0.0,0.0,17.4,0.0,0.0,3.0,0.0,0.0,0.0,3000.0,0.2857142857142857,0.0,0.6234324614833393,0.0,0.0,0.0,0.15789473684210525,0.6165338645418327,0.0,0.7808852140077821,0.0,0.0,0.0,0.0,0.0,0.0,15.842364052979763
151,Larry Johnson,0.0,0.0,0.1303,16.2,0.0,0.0,36.33,7.5,0.0,0.0,1.39,21.92,2.0,1.0,0.0,0.0,1996.5,0.0,0.0,0.0,0.16451516061242868,0.15075921908893708,0.5201596806387225,0.10526315789473684,0.5378486055776892,0.0,0.8835116731517509,0.541907514450867,0.0,0.0,0.06666666666666667,0.0,0.0,15.823052633167395
152,Isaiah Thomas,0.0,0.0,0.1432,18.11,0.0,0.0,0.0,0.0,4.95,19.81,2.29,0.0,2.0,1.0,0.0,0.0,3000.0,0.0,0.0,0.7097814403439627,0.0,0.24837310195227763,0.5716566866267464,0.10526315789473684,0.6012616201859229,0.0,0.0,0.0,0.44235924932975873,0.0,0.06666666666666667,0.0,0.0,15.61176477727169
153,Hersey Hawkins,0.0,0.0,0.1358,0.0,0.0,983.0,32.59,0.0,0.0,0.0,2.04,32.57,1.0,0.0,1.65,0.0,1995.0,0.0,0.0,0.0,0.244446112278595,0.2212581344902386,0.5421157684630739,0.05263157894736842,0.0,0.6101800124146493,0.7925583657587549,0.0,0.0,0.0,0.0,0.6088560885608856,0.0,15.601906673164024
154,P.J. Brown,1.0,0.0,0.1275,0.0,0.0,1089.0,0.0,7.72,0.0,0.0,0.0,17.42,0.0,0.0,0.0,1.02,2001.0,0.14285714285714285,0.0,0.0,0.13074151906334433,0.0,0.5089820359281437,0.0,0.0,0.6759776536312849,0.0,0.5578034682080925,0.0,0.0,0.0,0.0,0.2914285714285714,15.600490472022473
155,Joakim Noah,0.0,0.0,0.1595,0.0,0.0,0.0,0.0,9.06,0.0,17.62,2.48,20.87,2.0,1.0,0.0,1.31,3000.0,0.0,0.0,0.6313149408814046,0.15663464425097567,0.26898047722342733,0.6367265469061876,0.10526315789473684,0.0,0.0,0.0,0.6546242774566475,0.0,0.0,0.06666666666666667,0.0,0.3742857142857143,15.484695394518456
156,Carmelo Anthony,0.0,0.0,0.0,23.62,0.0,1114.0,35.68,0.0,0.0,19.94,1.56,35.69,10.0,6.0,0.0,0.0,2012.0,0.0,0.0,0.7144392690791832,0.26786250375262677,0.16919739696312364,0.0,0.5263157894736842,0.7841965471447543,0.691495965238982,0.867704280155642,0.0,0.0,0.0,0.4,0.0,0.0,15.393793891234203
157,Baron Davis,0.0,0.0,0.0,16.1,0.0,0.0,34.24,0.0,7.22,17.82,2.58,33.06,2.0,1.0,1.83,0.0,2006.0,0.0,0.0,0.638480831243282,0.2481236865806064,0.2798264642082429,0.0,0.10526315789473684,0.5345285524568393,0.0,0.8326848249027238,0.0,0.645218945487042,0.0,0.06666666666666667,0.6752767527675277,0.0,15.287366533775481
158,John Salley,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,3000.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3742857142857143,15.276885714285715
159,Stephon Marbury,0.0,0.0,0.0,19.26,0.0,0.0,37.7,0.0,7.65,18.74,1.82,30.69,2.0,2.0,1.21,0.0,2003.0,0.0,0.0,0.6714439269079183,0.2303362353647553,0.19739696312364424,0.0,0.10526315789473684,0.6394422310756972,0.0,0.9168287937743191,0.0,0.6836461126005362,0.0,0.13333333333333333,0.44649446494464945,0.0,15.270835769197987
160,Kemba Walker,0.0,0.0,0.0,19.95,0.0,0.0,33.89,0.0,5.43,19.4,2.93,27.54,4.0,1.0,1.29,0.0,3000.0,0.0,0.0,0.6950913651021139,0.20669468628039625,0.3177874186550976,0.0,0.21052631578947367,0.6623505976095617,0.0,0.8241731517509728,0.0,0.48525469168900803,0.0,0.06666666666666667,0.47601476014760147,0.0,15.072624015033437
161,Brook Lopez,0.0,0.0,0.1305,16.82,0.0,0.0,0.0,0.0,0.0,19.53,1.4,20.41,1.0,0.0,0.0,1.8,3000.0,0.0,0.0,0.6997491938373344,0.15318222755929148,0.15184381778741862,0.5209580838323353,0.05263157894736842,0.5584329349269588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,15.069624272176139
162,Mehmet Okur,1.0,0.0,0.1425,0.0,0.0,0.0,0.0,7.0,0.0,17.08,1.11,0.0,1.0,0.0,0.0,0.0,3000.0,0.14285714285714285,0.0,0.6119670369043354,0.0,0.12039045553145336,0.5688622754491017,0.05263157894736842,0.0,0.0,0.0,0.5057803468208093,0.0,0.0,0.0,0.0,0.0,14.948259092484292
163,Byron Scott,3.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.14,0.0,1990.5,0.42857142857142855,0.0,0.0,0.15761032722906032,0.0,0.0,0.0,0.0,0.6660459342023588,0.0,0.0,0.0,0.0,0.0,0.4206642066420664,0.0,14.945739223664742
164,Steve Francis,0.0,0.0,0.0,18.14,0.0,0.0,37.56,0.0,6.03,18.35,2.16,22.67,3.0,0.0,1.47,0.0,2004.0,0.0,0.0,0.6574704407022574,0.1701441008706094,0.23427331887201736,0.0,0.15789473684210525,0.602257636122178,0.0,0.9134241245136188,0.0,0.5388739946380697,0.0,0.0,0.5424354243542435,0.0,14.79011276551296
165,Glenn Robinson,1.0,0.0,0.0,20.69,0.0,0.0,36.84,0.0,0.0,17.5,0.0,0.0,2.0,0.0,1.2,0.0,2000.0,0.14285714285714285,0.0,0.6270154066642781,0.0,0.0,0.0,0.10526315789473684,0.6869189907038513,0.0,0.8959143968871597,0.0,0.0,0.0,0.0,0.44280442804428044,0.0,14.686415284721852
166,Red Robbins,0.0,0.0,0.1292,0.0,0.0,0.0,31.99,10.5,0.0,17.97,0.0,0.0,4.0,2.0,0.0,0.0,3000.0,0.0,0.0,0.64385524901469,0.0,0.0,0.5157684630738523,0.21052631578947367,0.0,0.0,0.7779669260700389,0.758670520231214,0.0,0.0,0.13333333333333333,0.0,0.0,14.562904135597671
167,Dan Majerle,0.0,0.0,0.1248,0.0,0.0,955.0,31.63,0.0,0.0,0.0,1.88,29.62,3.0,0.0,1.25,0.0,1995.5,0.0,0.0,0.0,0.22230561392975082,0.20390455531453358,0.4982035928143712,0.15789473684210525,0.0,0.5927995034140285,0.7692120622568093,0.0,0.0,0.0,0.0,0.46125461254612543,0.0,14.44479867579767
168,Derrick Rose,0.0,1.0,0.0,18.77,0.0,0.0,32.55,0.0,5.59,18.27,1.34,0.0,3.0,1.0,0.0,0.0,3000.0,0.0,0.16666666666666666,0.6546040845575063,0.0,0.14533622559652928,0.0,0.15789473684210525,0.6231739707835325,0.0,0.7915856031128404,0.0,0.49955317247542447,0.0,0.06666666666666667,0.0,0.0,14.335422937919473
169,Antoine Walker,1.0,0.0,0.0,17.52,0.0,0.0,35.31,7.72,0.0,0.0,0.0,17.99,3.0,0.0,1.22,0.0,2002.5,0.14285714285714285,0.0,0.0,0.13501951365956166,0.0,0.0,0.15789473684210525,0.5816733067729083,0.0,0.8587062256809339,0.5578034682080925,0.0,0.0,0.0,0.45018450184501846,0.0,14.291616841253008
170,Detlef Schrempf,0.0,0.0,0.1565,0.0,0.0,1136.0,0.0,0.0,0.0,17.22,1.81,32.33,3.0,1.0,0.0,0.0,1993.5,0.0,0.0,0.6169831601576496,0.24264485139597713,0.19631236442516267,0.624750499001996,0.15789473684210525,0.0,0.7051520794537555,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,14.266406857539005
171,Kiki Vandeweghe,0.0,0.0,0.1479,19.73,0.0,0.0,0.0,0.0,0.0,18.37,0.86,17.74,2.0,0.0,0.0,0.0,1987.0,0.0,0.0,0.6581870297384451,0.1331432002401681,0.09327548806941431,0.5904191616766467,0.10526315789473684,0.6550464807436919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.252358140097432
172,Antawn Jamison,0.0,0.0,0.0,18.51,0.0,1083.0,34.75,7.53,0.0,18.14,0.0,24.53,2.0,0.0,0.0,0.0,2006.5,0.0,0.0,0.649946255822286,0.18410387271089762,0.0,0.0,0.10526315789473684,0.6145418326693227,0.6722532588454376,0.8450875486381323,0.5440751445086706,0.0,0.0,0.0,0.0,0.0,14.16553359992691
173,Dan Roundfield,0.0,0.0,0.1318,0.0,0.0,0.0,0.0,9.23,0.0,17.95,1.23,19.7,3.0,1.0,0.0,1.43,1982.0,0.0,0.0,0.6431386599785024,0.14785349744821372,0.1334056399132321,0.5261477045908184,0.15789473684210525,0.0,0.0,0.0,0.6669075144508672,0.0,0.0,0.06666666666666667,0.0,0.40857142857142853,13.932361898762192
174,Pep Saul,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.925714285714285
175,Will Perdue,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.925714285714285
176,Kurt Rambis,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.925714285714285
177,Brian Shaw,3.0,0.0,0.0,0.0,0.0,943.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585350713842334,0.0,0.0,0.3708668453976765,0.0,0.0,0.0,0.0,13.896231103142151
178,Mack Calvin,0.0,0.0,0.1342,16.12,0.0,0.0,0.0,0.0,4.79,17.44,0.0,0.0,5.0,4.0,0.0,0.0,3000.0,0.0,0.0,0.624865639555715,0.0,0.0,0.5357285429141717,0.2631578947368421,0.5351925630810093,0.0,0.0,0.0,0.4280607685433423,0.0,0.26666666666666666,0.0,0.0,13.892676532661493
179,James Silas,0.0,0.0,0.142,16.11,0.0,0.0,0.0,0.0,3.84,16.96,0.78,0.0,2.0,2.0,0.0,0.0,3000.0,0.0,0.0,0.6076675026872089,0.0,0.08459869848156182,0.5668662674650697,0.10526315789473684,0.5348605577689243,0.0,0.0,0.0,0.34316353887399464,0.0,0.13333333333333333,0.0,0.0,13.867631507658492
180,James Edwards,3.0,0.0,0.0,0.0,0.0,1168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1987.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7250155183116077,0.0,0.0,0.0,0.0,0.0,0.0,0.2114285714285714,13.824848878247762
181,Steve Smith,1.0,0.0,0.1393,0.0,0.0,942.0,0.0,0.0,0.0,0.0,1.37,24.57,1.0,0.0,0.0,0.0,1998.5,0.14285714285714285,0.0,0.0,0.18440408285800058,0.14859002169197397,0.5560878243512974,0.05263157894736842,0.0,0.5847299813780261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.613671503966366
182,Glen Rice,1.0,0.0,0.0,18.34,0.0,1000.0,34.98,0.0,0.0,0.0,0.84,24.92,3.0,2.0,0.0,0.0,1997.0,0.14285714285714285,0.0,0.0,0.1870309216451516,0.09110629067245118,0.0,0.15789473684210525,0.6088977423638778,0.6207324643078833,0.85068093385214,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,13.587440932818865
183,Danny Granger,0.0,0.0,0.1258,16.82,0.0,0.0,0.0,0.0,0.0,16.93,1.79,17.69,1.0,0.0,0.0,0.82,2010.5,0.0,0.0,0.6065926191329273,0.1327679375562894,0.19414316702819956,0.5021956087824351,0.05263157894736842,0.5584329349269588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23428571428571426,13.571169986062317
184,Danilo Gallinari,0.0,0.0,0.1438,16.19,0.0,0.0,0.0,0.0,0.0,17.15,2.01,18.9,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.6144750985309925,0.14184929450615427,0.21800433839479388,0.5740518962075849,0.0,0.5375166002656042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.524705419154628
185,Derrick Coleman,0.0,0.0,0.0,16.5,0.0,0.0,33.17,9.26,0.0,18.01,1.41,22.31,1.0,2.0,0.0,1.35,1998.0,0.0,0.0,0.6452884270870657,0.16744220954668265,0.1529284164859002,0.0,0.05263157894736842,0.547808764940239,0.0,0.8066634241245136,0.6690751445086706,0.0,0.0,0.13333333333333333,0.0,0.38571428571428573,13.495876016038002
186,Larry Jones,0.0,0.0,0.1429,19.07,0.0,0.0,0.0,0.0,0.0,18.87,0.0,0.0,4.0,3.0,0.0,0.0,3000.0,0.0,0.0,0.6761017556431388,0.0,0.0,0.5704590818363273,0.21052631578947367,0.6331341301460823,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,13.385886083888284
187,Michael Finley,1.0,0.0,0.0,15.69,0.0,1103.0,34.45,0.0,0.0,0.0,1.0,28.77,2.0,0.0,0.0,0.0,2003.0,0.14285714285714285,0.0,0.0,0.21592614830381265,0.10845986984815617,0.0,0.10526315789473684,0.5209163346613546,0.6846679081315953,0.8377918287937745,0.0,0.0,0.0,0.0,0.0,0.0,13.30281514110008
188,Jrue Holiday,0.0,0.0,0.0,15.88,0.0,0.0,33.25,0.0,6.41,16.91,1.23,19.16,1.0,0.0,1.49,0.0,3000.0,0.0,0.0,0.6058760300967396,0.14380066046232362,0.1334056399132321,0.0,0.05263157894736842,0.5272244355909694,0.0,0.8086089494163424,0.0,0.5728328865058088,0.0,0.0,0.5498154981549815,0.0,13.284717998216419
189,Calvin Natt,0.0,0.0,0.1459,17.18,0.0,0.0,0.0,0.0,0.0,17.94,1.25,0.0,1.0,0.0,0.0,0.0,1985.0,0.0,0.0,0.6427803654604085,0.0,0.1355748373101952,0.5824351297405189,0.05263157894736842,0.5703851261620185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.190300071726732
190,Derrick Favors,0.0,0.0,0.1473,0.0,0.0,0.0,0.0,7.37,0.0,18.95,0.9,0.0,0.0,0.0,0.0,1.27,3000.0,0.0,0.0,0.6789681117878896,0.0,0.09761388286334055,0.5880239520958083,0.0,0.0,0.0,0.0,0.5325144508670521,0.0,0.0,0.0,0.0,0.3628571428571428,13.168035996468847
191,Doc Rivers,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,5.66,0.0,3.13,30.53,1.0,0.0,1.81,0.0,1990.0,0.0,0.0,0.0,0.22913539477634343,0.3394793926247288,0.5544910179640719,0.05263157894736842,0.0,0.0,0.0,0.0,0.5058087578194816,0.0,0.0,0.6678966789667897,0.0,13.10393071565902
192,Dale Davis,0.0,0.0,0.1408,0.0,0.0,1094.0,0.0,7.87,0.0,0.0,0.0,18.44,1.0,0.0,0.0,1.16,1999.5,0.0,0.0,0.0,0.13839687781447013,0.0,0.5620758483033932,0.05263157894736842,0.0,0.6790813159528243,0.0,0.5686416184971099,0.0,0.0,0.0,0.0,0.3314285714285714,13.080088502487976
193,Billy Knight,0.0,0.0,0.1291,16.93,0.0,0.0,0.0,0.0,0.0,18.17,1.17,19.02,3.0,1.0,0.0,0.0,1981.0,0.0,0.0,0.6510211393765677,0.14274992494746322,0.1268980477223427,0.5153692614770459,0.15789473684210525,0.5620849933598937,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,13.07647776245313
194,Latrell Sprewell,0.0,0.0,0.0,18.3,0.0,913.0,38.63,0.0,4.01,0.0,0.0,20.95,4.0,1.0,1.42,0.0,1999.0,0.0,0.0,0.0,0.1572350645451816,0.0,0.0,0.21052631578947367,0.6075697211155379,0.5667287399130975,0.9394455252918289,0.0,0.3583556747095621,0.0,0.06666666666666667,0.5239852398523985,0.0,13.041969923457227
195,Reggie Theus,0.0,0.0,0.0,18.53,0.0,1026.0,33.73,0.0,6.29,0.0,0.0,18.53,2.0,0.0,1.18,0.0,1985.0,0.0,0.0,0.0,0.13907235064545181,0.0,0.0,0.10526315789473684,0.6152058432934927,0.6368715083798883,0.8202821011673151,0.0,0.5621090259159964,0.0,0.0,0.4354243542435424,0.0,13.038418621148606
196,Anthony Mason,0.0,0.0,0.1385,0.0,0.0,0.0,34.7,8.25,0.0,0.0,1.01,23.18,1.0,1.0,0.0,0.0,1996.5,0.0,0.0,0.0,0.1739717802461723,0.10954446854663773,0.5528942115768464,0.05263157894736842,0.0,0.0,0.8438715953307394,0.5960982658959538,0.0,0.0,0.06666666666666667,0.0,0.0,13.021592134230552
197,Cliff Levingston,2.0,0.0,0.1251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.49940119760479035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.980641573994866
198,Bradley Beal,0.0,0.0,0.0,20.96,0.0,0.0,34.55,0.0,3.98,17.79,1.61,0.0,2.0,0.0,1.14,0.0,3000.0,0.0,0.0,0.6374059476890004,0.0,0.17462039045553143,0.0,0.10526315789473684,0.695883134130146,0.0,0.8402237354085602,0.0,0.355674709562109,0.0,0.0,0.4206642066420664,0.0,12.93755081506959
199,Mookie Blaylock,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,6.72,16.79,3.01,39.21,1.0,0.0,2.33,0.0,1996.0,0.0,0.0,0.601576495879613,0.29428099669768837,0.32646420824295,0.0,0.05263157894736842,0.0,0.0,0.8487354085603113,0.0,0.6005361930294906,0.0,0.0,0.8597785977859779,0.0,12.920012914388465
200,Micheal Ray Richardson,0.0,0.0,0.0,0.0,0.0,0.0,33.43,0.0,7.01,16.95,2.52,21.19,4.0,0.0,2.63,0.0,1982.5,0.0,0.0,0.607309208169115,0.15903632542779944,0.27331887201735355,0.0,0.21052631578947367,0.0,0.0,0.8129863813229572,0.0,0.6264521894548704,0.0,0.0,0.9704797047970479,0.0,12.90905755395598
201,Brad Miller,0.0,0.0,0.1497,0.0,0.0,0.0,0.0,7.14,0.0,17.55,1.76,23.22,2.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.6288068792547474,0.17427199039327526,0.19088937093275485,0.5976047904191616,0.10526315789473684,0.0,0.0,0.0,0.5158959537572254,0.0,0.0,0.0,0.0,0.0,12.908227665809093
202,Larry Kenon,0.0,0.0,0.0,17.23,0.0,0.0,32.59,8.91,0.0,17.05,0.0,0.0,5.0,0.0,1.27,0.0,1980.0,0.0,0.0,0.6108921533500539,0.0,0.0,0.0,0.2631578947368421,0.5720451527224435,0.0,0.7925583657587549,0.6437861271676301,0.0,0.0,0.0,0.46863468634686345,0.0,12.837388964483598
203,Zydrunas Ilgauskas,0.0,0.0,0.1386,0.0,0.0,0.0,0.0,7.34,0.0,18.49,0.0,0.0,2.0,0.0,0.0,1.57,2004.5,0.0,0.0,0.6624865639555715,0.0,0.0,0.5532934131736527,0.10526315789473684,0.0,0.0,0.0,0.5303468208092486,0.0,0.0,0.0,0.0,0.44857142857142857,12.829248303986866
204,Shareef Abdur-Rahim,0.0,0.0,0.0,18.11,0.0,0.0,34.8,7.52,0.0,19.02,1.01,21.91,1.0,0.0,0.0,0.77,2002.5,0.0,0.0,0.6814761734145468,0.16444010807565293,0.10954446854663773,0.0,0.05263157894736842,0.6012616201859229,0.0,0.8463035019455253,0.5433526011560694,0.0,0.0,0.0,0.0,0.22,12.806936075312137
205,Nenê Hilário,0.0,0.0,0.1394,0.0,0.0,965.0,0.0,0.0,0.0,17.07,0.95,18.79,0.0,0.0,0.0,0.75,3000.0,0.0,0.0,0.6116087423862415,0.1410237166016211,0.10303687635574836,0.5564870259481037,0.0,0.0,0.5990068280571074,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,12.78196120124329
206,Ricky Pierce,0.0,0.0,0.1464,0.0,0.0,969.0,0.0,0.0,0.0,17.74,1.12,18.57,1.0,0.0,0.0,0.0,1990.5,0.0,0.0,0.635614475098531,0.13937256079255478,0.12147505422993492,0.5844311377245509,0.05263157894736842,0.0,0.6014897579143389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.602210159027328
207,Kerry Kittles,0.0,0.0,0.1272,0.0,0.0,0.0,33.39,0.0,0.0,0.0,2.22,18.03,0.0,0.0,1.6,0.0,2001.0,0.0,0.0,0.0,0.13531972380666465,0.24078091106290672,0.5077844311377245,0.0,0.0,0.0,0.8120136186770428,0.0,0.0,0.0,0.0,0.5904059040590406,0.0,12.561826202258167
208,Kevin Martin,0.0,0.0,0.1365,17.36,0.0,0.0,0.0,0.0,0.0,17.68,0.98,0.0,0.0,0.0,0.0,0.0,2010.5,0.0,0.0,0.6334647079899678,0.0,0.10629067245119304,0.5449101796407185,0.0,0.5763612217795484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.531747201726374
209,Rick Fox,3.0,0.0,0.0,0.0,0.0,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772811918063314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.528270816706572
210,Fat Lever,0.0,0.0,0.0,0.0,0.0,0.0,31.67,0.0,6.24,17.82,3.33,32.08,2.0,1.0,2.22,0.0,1988.5,0.0,0.0,0.638480831243282,0.24076853797658357,0.36117136659436005,0.0,0.10526315789473684,0.0,0.0,0.7701848249027238,0.0,0.5576407506702413,0.0,0.06666666666666667,0.8191881918819189,0.0,12.5219059062135
211,Alvin Robertson,0.0,0.0,0.0,0.0,0.0,0.0,31.67,0.0,5.04,17.02,2.55,28.28,4.0,1.0,2.71,0.0,1990.5,0.0,0.0,0.6098172697957721,0.21224857400180125,0.27657266811279824,0.0,0.21052631578947367,0.0,0.0,0.7701848249027238,0.0,0.450402144772118,0.0,0.06666666666666667,1.0,0.0,12.464006509763555
212,Gail Goodrich,0.0,0.0,0.0,18.6,0.0,1031.0,32.52,0.0,4.66,0.0,0.0,0.0,5.0,1.0,1.33,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.6175298804780877,0.6399751707014277,0.7908560311284047,0.0,0.41644325290437895,0.0,0.06666666666666667,0.4907749077490775,0.0,12.43733198761898
213,Ty Lawson,0.0,0.0,0.1256,0.0,0.0,0.0,0.0,0.0,6.02,17.23,1.35,0.0,0.0,0.0,1.15,0.0,3000.0,0.0,0.0,0.6173414546757435,0.0,0.14642082429501083,0.5013972055888223,0.0,0.0,0.0,0.0,0.0,0.5379803395889187,0.0,0.0,0.4243542435424354,0.0,12.318871736272163
214,Marcin Gortat,0.0,0.0,0.1422,0.0,0.0,0.0,0.0,7.95,0.0,17.05,0.0,0.0,0.0,0.0,0.0,1.1,3000.0,0.0,0.0,0.6108921533500539,0.0,0.0,0.5676646706586825,0.0,0.0,0.0,0.0,0.5744219653179191,0.0,0.0,0.0,0.0,0.3142857142857143,12.290568207600938
215,Josh Smith,0.0,0.0,0.0,0.0,0.0,0.0,32.44,7.44,0.0,17.44,1.72,27.15,0.0,0.0,1.21,1.92,3000.0,0.0,0.0,0.624865639555715,0.20376763734614226,0.18655097613882862,0.0,0.0,0.0,0.0,0.7889105058365758,0.5375722543352602,0.0,0.0,0.0,0.44649446494464945,0.5485714285714285,12.106516848472687
216,Metta World Peace,1.0,0.0,0.0,0.0,0.0,991.0,31.73,0.0,0.0,0.0,1.2,25.35,1.0,1.0,1.74,0.0,2008.5,0.14285714285714285,0.0,0.0,0.19025818072650855,0.1301518438177874,0.0,0.05263157894736842,0.0,0.6151458721291123,0.7716439688715954,0.0,0.0,0.0,0.06666666666666667,0.6420664206642066,0.0,12.101925518748057
217,Swen Nater,0.0,0.0,0.1354,0.0,0.0,0.0,0.0,11.55,0.0,17.57,0.0,0.0,2.0,2.0,0.0,0.0,1980.5,0.0,0.0,0.6295234682909352,0.0,0.0,0.5405189620758483,0.10526315789473684,0.0,0.0,0.0,0.8345375722543353,0.0,0.0,0.13333333333333333,0.0,0.0,12.07712736274301
