,Player,scaled_championships,scaled_reg_mvp,scaled_ws,scaled_ppg,scaled_fin_mvp,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_per,scaled_bpm,scaled_vorp,scaled_all_star,scaled_anba,GOAT SCORE,GOAT SCORE2
429,Reggie Lewis,0,0,0,0.133195307,0,0,0.071780436,0,0,0,0,0,0,0,0.01305514,0.013843221
427,Brandon Jennings,0,0,0,0,0,0,0,0,0.258411844,0,0.002366864,0,0,0,0.013136662,0.013825034
418,Rudy Gobert,0,0,0,0,0,0,0,0.25281602,0,0,0,0.025837568,0,0.071428571,0.013951162,0.013775657
425,Dell Curry,0,0,0,0,0,0.256338028,0,0,0,0,0.013017751,0,0,0,0.013422822,0.013714085
432,Bob Rule,0,0,0,0.121463078,0,0,0,0.085106383,0,0,0,0,0,0,0.012897458,0.013675069
433,Bob Love,0,0,0,0.136645963,0,0,0.017593244,0,0,0,0,0,0.111111111,0.071428571,0.012876485,0.01365335
417,Bill Walton,0,0,0,0,0,0,0,0.225907384,0,0,0,0.035914219,0.055555556,0.071428571,0.014000978,0.013436045
435,Jack Coleman,0,0,0,0,0,0,0.105559465,0.142052566,0,0,0,0,0,0,0.012504408,0.013247244
436,Elmore Smith,0,0,0,0,0,0,0.015482055,0.231539424,0,0,0,0,0,0,0.012474585,0.013215649
438,Truck Robinson,0,0,0,0,0,0,0.068965517,0.156445557,0,0,0,0,0.055555556,0,0.012422148,0.013159492
440,Richard Hamilton,0,0,0,0.098688751,0,0.028169014,0.035186488,0,0,0,0,0,0.111111111,0,0.012264394,0.013001045
439,Jerry Stackhouse,0,0,0,0.089026915,0,0.097183099,0,0,0,0,0,0.002153131,0.055555556,0,0.012328761,0.012985217
423,Byron Scott,0,0,0,0,0,0.242253521,0,0,0,0,0,0.033330462,0,0,0.013457031,0.012960563
441,George Carter,0,0,0,0.172532781,0,0,0,0,0,0,0,0,0,0,0.012215321,0.012957212
