,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,Usg%,PTS,fmvp_pct,midpoint,scaled_cs,scaled_reg_mvp,scaled_per,scaled_ws,scaled_all_star,scaled_ppg,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_pts,GOAT_SCORE
75,Clifford Ray,1.0,0.0,0.1364,0.0,0.0,0.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1976.5,0.09090909090909091,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.3875054608999563,0.0,0.0,0.0,0.0,10.203184260693435
76,Dick Van Arsdale,0.0,0.0,0.0,16.37,0.0,34.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15079.0,0.0,1971.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.5443964083804457,0.7532751091703057,0.0,0.0,0.0,0.0,0.47993252490531213,10.142362420495717
77,Bob Love,0.0,0.0,0.0,17.61,0.0,31.84,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,13895.0,0.0,1972.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.5856335217825074,0.6951965065502184,0.0,0.0,0.0,0.16666666666666666,0.44224832107960155,10.006628310696923
78,Joe Caldwell,0.0,0.0,0.0,16.14,0.0,32.3,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,12619.0,0.0,1967.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.5367475889590955,0.7052401746724891,0.0,0.0,0.0,0.08333333333333333,0.40163595276743375,9.771312749053909
79,George Mikan,5.0,0.0,0.0,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1952.5,0.4545454545454546,0.0,0.0,0.0,0.2857142857142857,0.7692051878949118,0.0,0.0,0.0,0.0,0.5,0.0,9.662021668055921
80,Doug Collins,0.0,0.0,0.0,17.9,0.0,33.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.25,0.0,0.0,0.0,0.0,1977.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.5952776854007316,0.7336244541484718,0.0,0.0,0.0,0.0,0.0,9.456069599298456
81,Andy Phillip,0.0,0.0,0.0,0.0,0.0,32.17,0.0,5.36,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1953.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.702401746724891,0.0,0.5636172450052577,0.0,0.16666666666666666,0.0,9.235143245150885
82,Phil Chenier,0.0,0.0,0.0,17.18,0.0,33.07,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.6,0.0,0.0,0.0,0.0,1976.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.571333555038244,0.722052401746725,0.0,0.0,0.0,0.08333333333333333,0.0,9.106204431843825
83,Willie Naulls,3.0,0.0,0.0,15.79,0.0,0.0,9.09,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.5,0.2727272727272727,0.0,0.0,0.0,0.2857142857142857,0.5251080811439973,0.0,0.39711664482306686,0.0,0.0,0.0,0.0,9.00059250762875
84,Jimmy Walker,0.0,0.0,0.0,16.7,0.0,33.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5553708014632524,0.7379912663755459,0.0,0.0,0.0,0.0,0.0,8.935449376698704
85,Mel Hutchins,0.0,0.0,0.0,0.0,0.0,37.93,9.58,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.8281659388646289,0.41852337265181305,0.0,0.0,0.0,0.0,8.906065779759283
